title,studio,domestic_gross,foreign_gross,year,movie_id,start_year,runtime_minutes,genres,averagerating,numvotes,production_budget,total_gross,worldwide_gross,roi,budget_tier,total_revenue
Unstoppable,Fox,81600000.0,86200000.0,2010,tt9906218,2019,84.0,Documentary,8.1,8,95000000.0,167800000.0,167800000.0,0.7663157894736842,High Budget(>$25M),167800000.0
The Book of Eli,WB,94800000.0,62300000.0,2010,tt1037705,2010,118.0,Action,6.9,271307,80000000.0,157100000.0,157100000.0,0.96375,High Budget(>$25M),157100000.0
The Book of Eli,WB,94800000.0,62300000.0,2010,tt1037705,2010,118.0,Adventure,6.9,271307,80000000.0,157100000.0,157100000.0,0.96375,High Budget(>$25M),157100000.0
The Book of Eli,WB,94800000.0,62300000.0,2010,tt1037705,2010,118.0,Drama,6.9,271307,80000000.0,157100000.0,157100000.0,0.96375,High Budget(>$25M),157100000.0
The Town,WB,92200000.0,61800000.0,2010,tt0840361,2010,125.0,Crime,7.6,322524,37000000.0,154000000.0,154000000.0,3.1621621621621623,High Budget(>$25M),154000000.0
The Town,WB,92200000.0,61800000.0,2010,tt0840361,2010,125.0,Drama,7.6,322524,37000000.0,154000000.0,154000000.0,3.1621621621621623,High Budget(>$25M),154000000.0
The Town,WB,92200000.0,61800000.0,2010,tt0840361,2010,125.0,Thriller,7.6,322524,37000000.0,154000000.0,154000000.0,3.1621621621621623,High Budget(>$25M),154000000.0
Date Night,Fox,98700000.0,53600000.0,2010,tt1279935,2010,88.0,Comedy,6.3,144683,55000000.0,152300000.0,152300000.0,1.769090909090909,High Budget(>$25M),152300000.0
Date Night,Fox,98700000.0,53600000.0,2010,tt1279935,2010,88.0,Crime,6.3,144683,55000000.0,152300000.0,152300000.0,1.769090909090909,High Budget(>$25M),152300000.0
Date Night,Fox,98700000.0,53600000.0,2010,tt1279935,2010,88.0,Romance,6.3,144683,55000000.0,152300000.0,152300000.0,1.769090909090909,High Budget(>$25M),152300000.0
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,tt1219342,2010,97.0,Action,7.0,73790,100000000.0,140100000.0,140100000.0,0.401,High Budget(>$25M),140100000.0
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,tt1219342,2010,97.0,Adventure,7.0,73790,100000000.0,140100000.0,140100000.0,0.401,High Budget(>$25M),140100000.0
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,tt1219342,2010,97.0,Animation,7.0,73790,100000000.0,140100000.0,140100000.0,0.401,High Budget(>$25M),140100000.0
The Wolfman,Uni.,62000000.0,77800000.0,2010,tt0780653,2010,103.0,Drama,5.8,97873,150000000.0,139800000.0,139800000.0,-0.068,High Budget(>$25M),139800000.0
The Wolfman,Uni.,62000000.0,77800000.0,2010,tt0780653,2010,103.0,Fantasy,5.8,97873,150000000.0,139800000.0,139800000.0,-0.068,High Budget(>$25M),139800000.0
The Wolfman,Uni.,62000000.0,77800000.0,2010,tt0780653,2010,103.0,Horror,5.8,97873,150000000.0,139800000.0,139800000.0,-0.068,High Budget(>$25M),139800000.0
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,tt1038919,2010,110.0,Action,5.6,112444,45000000.0,136399999.0,136399999.0,2.031111088888889,High Budget(>$25M),136399999.0
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,tt1038919,2010,110.0,Comedy,5.6,112444,45000000.0,136399999.0,136399999.0,2.031111088888889,High Budget(>$25M),136399999.0
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,tt1038919,2010,110.0,Romance,5.6,112444,45000000.0,136399999.0,136399999.0,2.031111088888889,High Budget(>$25M),136399999.0
The Fighter,Par.,93600000.0,35600000.0,2010,tt0964517,2010,116.0,Biography,7.8,316539,11000000.0,129200000.0,129200000.0,10.745454545454546,Mid Budget($10M-$25M),129200000.0
The Fighter,Par.,93600000.0,35600000.0,2010,tt0964517,2010,116.0,Drama,7.8,316539,11000000.0,129200000.0,129200000.0,10.745454545454546,Mid Budget($10M-$25M),129200000.0
The Fighter,Par.,93600000.0,35600000.0,2010,tt0964517,2010,116.0,Sport,7.8,316539,11000000.0,129200000.0,129200000.0,10.745454545454546,Mid Budget($10M-$25M),129200000.0
Predators,Fox,52000000.0,75200000.0,2010,tt1424381,2010,107.0,Action,6.4,199764,40000000.0,127200000.0,127200000.0,2.18,High Budget(>$25M),127200000.0
Predators,Fox,52000000.0,75200000.0,2010,tt1424381,2010,107.0,Adventure,6.4,199764,40000000.0,127200000.0,127200000.0,2.18,High Budget(>$25M),127200000.0
